run_type,input_file,input_size,CLI_Flags,hashing_method,mod_value,bucket_size,strategy,c1,c2,collisions,primary_collisions,secondary_collisions,comparisons,insertions,load_factor,execution_time_sec,memory_usage_bytes,input_type
scheme_4,custom_collisions_scheme12.txt,60,--hashing division --mod 127 --bucket 1 --strategy linear,division,127.0,1,linear,,,92.0,6.0,86.0,152.0,60.0,0.5,0.000976,0,forced_collision
scheme_5,custom_collisions_scheme12.txt,60,--hashing division --mod 127 --bucket 1 --strategy quadratic --c1 0.5 --c2 0.5,division,127.0,1,quadratic,0.5,0.5,29.0,6.0,23.0,89.0,60.0,0.5,0.0002282,0,forced_collision
scheme_6,custom_collisions_scheme12.txt,60,--hashing division --mod 127 --bucket 1 --strategy chaining,division,127.0,1,chaining,,,5.0,,,5.0,60.0,0.5,0.0002075,0,forced_collision
scheme_7,custom_collisions_scheme12.txt,60,--hashing division --mod 113 --bucket 1 --strategy linear,division,113.0,1,linear,,,105.0,8.0,97.0,165.0,60.0,0.5,0.0004703,0,forced_collision
scheme_8,custom_collisions_scheme12.txt,60,--hashing division --mod 113 --bucket 1 --strategy quadratic --c1 0.5 --c2 0.5,division,113.0,1,quadratic,0.5,0.5,36.0,9.0,27.0,96.0,60.0,0.5,0.0002179,0,forced_collision
scheme_9,custom_collisions_scheme12.txt,60,--hashing division --mod 113 --bucket 1 --strategy chaining,division,113.0,1,chaining,,,7.0,,,7.0,60.0,0.5,0.0002741,0,forced_collision
scheme_10,custom_collisions_scheme12.txt,60,--hashing division --mod 41 --bucket 3 --strategy linear,division,41.0,3,linear,,,739.0,28.0,711.0,799.0,60.0,0.5,0.0005247,0,forced_collision
scheme_11,custom_collisions_scheme12.txt,60,--hashing division --mod 41 --bucket 3 --strategy quadratic --c1 0.5 --c2 0.5,division,41.0,3,quadratic,0.5,0.5,184.0,30.0,154.0,244.0,60.0,0.5,0.0008856,0,forced_collision
scheme_12,custom_collisions_scheme12.txt,60,--hashing custom --bucket 1 --strategy linear,custom,,1,linear,,,174.0,40.0,134.0,234.0,60.0,0.5,0.0003152,0,forced_collision
scheme_13,custom_collisions_scheme12.txt,60,--hashing custom --bucket 1 --strategy quadratic --c1 0.5 --c2 0.5,custom,,1,quadratic,0.5,0.5,98.0,40.0,58.0,158.0,60.0,0.5,0.0002546,0,forced_collision
scheme_14,custom_collisions_scheme12.txt,60,--hashing custom --bucket 1 --strategy chaining,custom,,1,chaining,,,40.0,,,60.0,60.0,0.5,0.0003814,0,forced_collision
manual_div113_linear_b1,custom_collisions_scheme12.txt,60,--hashing division --mod 113 --bucket 1 --strategy linear,division,113.0,1,linear,,,105.0,8.0,97.0,165.0,60.0,0.5,0.0003065,0,forced_collision
manual_div113_quadratic_c05_05_b1,custom_collisions_scheme12.txt,60,--hashing division --mod 113 --bucket 1 --strategy quadratic --c1 0.5 --c2 0.5,division,113.0,1,quadratic,0.5,0.5,36.0,9.0,27.0,96.0,60.0,0.5,0.0002808,0,forced_collision
manual_div113_quadratic_c05_075_b1,custom_collisions_scheme12.txt,60,--hashing division --mod 113 --bucket 1 --strategy quadratic --c1 0.5 --c2 0.75,division,113.0,1,quadratic,0.5,0.75,31.0,8.0,23.0,91.0,60.0,0.5,0.0002357,0,forced_collision
